grid_id,latitude,longitude,burnable,lc_group,clc_code,fire_probability,high_fire_probability,combined_risk_score,predicted_risk_class
204,37.9608,28.115,0,NO_DATA,-128,0.0136663952085028,0.117394798604713,0.0016043637131546,SAFE_UNBURNABLE
205,37.9608,28.145,0,NO_DATA,-128,0.0131969121040377,0.1167686189963952,0.0015409852014053,SAFE_UNBURNABLE
206,37.9608,28.175,0,NO_DATA,-128,0.0127433488267383,0.1161453398817341,0.001480080580713,SAFE_UNBURNABLE
207,37.9608,28.205,0,NO_DATA,-128,0.0123051796336048,0.115524952510061,0.0014215552927999,SAFE_UNBURNABLE
208,37.9608,28.235,0,NO_DATA,-128,0.0118818951906987,0.1149074481061045,0.0013653182550273,SAFE_UNBURNABLE
209,37.9608,28.265,0,NO_DATA,-128,0.0114730021260953,0.1142928178706694,0.0013112817424276,SAFE_UNBURNABLE
210,37.9608,28.295,0,NO_DATA,-128,0.0110780225904253,0.1136810529813112,0.0012593612730303,SAFE_UNBURNABLE
211,37.9608,28.325,0,NO_DATA,-128,0.0106964938252361,0.1130721445930055,0.0012094754964452,SAFE_UNBURNABLE
212,37.9608,28.355,0,NO_DATA,-128,0.0103279677393675,0.1124660838388105,0.0011615460856602,SAFE_UNBURNABLE
213,37.9608,28.385,0,NO_DATA,-128,0.0099720104935004,0.1118628618305274,0.001115497632007,SAFE_UNBURNABLE
214,37.9808,26.285,0,NO_DATA,-128,0.1055465994771964,0.161651901150542,0.0170618084654636,SAFE_UNBURNABLE
215,37.9808,26.315,0,NO_DATA,-128,0.1022479501929935,0.1608326728298954,0.0164448111209171,SAFE_UNBURNABLE
216,37.9808,26.345,0,NO_DATA,-128,0.0990409783937872,0.1600168037920638,0.0158482208070126,SAFE_UNBURNABLE
217,37.9808,26.375,0,NO_DATA,-128,0.0959238447021772,0.1592042882932561,0.0152714874261629,SAFE_UNBURNABLE
